text,label,source,category,language,date
"Easy money: Telecaller task-based work, earn ₹1,50,000/day, invest ₹1000",1,synthetic,freelance,English,2026-05-31
Official job posting: UX Designer at IBM through LinkedIn,0,synthetic,government,English,2026-05-31
"Google/Microsoft hiring Content Writer - ₹40,000/month, pay verification fee ₹1500",1,synthetic,freelance,English,2026-05-31
TCS internship program for Business Analyst - Apply with portfolio,0,synthetic,government,English,2026-05-31
Infosys recruitment drive for Full Stack Developer - Visit official job portal,0,synthetic,IT,English,2026-05-31
"Work from home Telecaller - Earn ₹1,50,000/month, no experience needed",1,synthetic,IT,English,2026-05-31
"Fortune 500 company: Back Office Executive fresher role ₹1,50,000/month, pay subscription ₹3000",1,synthetic,non-IT,English,2026-05-31
"तुरंत भर्ती कस्टमर सपोर्ट के लिए - ₹40,000/महीना, ट्रेनिंग के लिए ₹500 भेजो",1,synthetic,mixed,Hindi,2026-05-31
"WhatsApp job offer: Virtual Assistant for ₹1,50,000/month, send ₹3000 to confirm",1,synthetic,IT,English,2026-05-31
"URGENT! Pay ₹3000 registration fee to get ₹40,000/month job as Web Developer",1,synthetic,freelance,English,2026-05-31
"Data entry job Back Office Executive - ₹80,000/month, pay registration ₹3000",1,synthetic,non-IT,English,2026-05-31
"WhatsApp job offer: Virtual Assistant for ₹1,50,000/month, send ₹2000 to confirm",1,synthetic,freelance,English,2026-05-31
Consulting project from reputable firm,0,existing,unknown,English,2024-01-01
"Google/Microsoft hiring Back Office Executive - ₹60,000/month, pay verification fee ₹2000",1,synthetic,non-IT,English,2026-05-31
Job opening: Machine Learning Engineer at Accenture - Send resume to hr@google.com,0,synthetic,government,English,2026-05-31
Tech Mahindra is hiring Data Scientist - Apply via careers.techmahindra.com,0,synthetic,government,English,2026-05-31
"Immediate hiring for Virtual Assistant - ₹40,000/month, send 1000 for training",1,synthetic,freelance,English,2026-05-31
"Google/Microsoft hiring Customer Support - ₹1,00,000/month, pay verification fee ₹3000",1,synthetic,IT,English,2026-05-31
Deloitte is hiring Software Engineer - Apply via careers.google.com,0,synthetic,IT,English,2026-05-31
"Easy money: Graphic Designer task-based work, earn ₹60,000/day, invest ₹1500",1,synthetic,IT,English,2026-05-31
"Part-time Customer Support from home - ₹80,000/month guaranteed, deposit ₹500",1,synthetic,non-IT,English,2026-05-31
Full Stack Developer position at Adobe - 3-5 years experience required,0,synthetic,IT,English,2026-05-31
Government job: Data Scientist recruitment via official UPSC portal,0,synthetic,IT,English,2026-05-31
"घर से काम सॉफ्टवेयर इंजीनियर - ₹50,000/महीना कमाओ, कोई अनुभव नहीं चाहिए",1,synthetic,mixed,Hindi,2026-05-31
"Part-time work: Earn ₹40,000/month from home, beginner friendly",1,existing,unknown,English,2024-01-01
Infosys डेटा एंट्री ऑपरेटर के लिए भर्ती कर रहा है - careers.tcs.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
"Fortune 500 company: Customer Support fresher role ₹60,000/month, pay subscription ₹2000",1,synthetic,IT,English,2026-05-31
"Google/Microsoft hiring Customer Support - ₹1,50,000/month, pay verification fee ₹2000",1,synthetic,freelance,English,2026-05-31
Infosys में डेटा एंट्री ऑपरेटर पद - 3-5 साल का अनुभव आवश्यक,0,synthetic,mixed,Hindi,2026-05-31
"URGENT! Pay ₹1000 registration fee to get ₹1,00,000/month job as Content Writer",1,synthetic,IT,English,2026-05-31
TCS डेटा एंट्री ऑपरेटर के लिए भर्ती कर रहा है - careers.infosys.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
Official job posting: UX Designer at Cognizant through LinkedIn,0,synthetic,IT,English,2026-05-31
"WhatsApp job offer: Customer Support for ₹1,00,000/month, send ₹999 to confirm",1,synthetic,freelance,English,2026-05-31
Infosys recruitment drive for Software Engineer - Visit official job portal,0,synthetic,IT,English,2026-05-31
Cybersecurity Analyst vacancy at TCS - Interview scheduled at office,0,synthetic,government,English,2026-05-31
Cloud Architect position at TCS - 3-5 years experience required,0,synthetic,established,English,2026-05-31
"URGENT! Pay ₹3000 registration fee to get ₹50,000/month job as Telecaller",1,synthetic,freelance,English,2026-05-31
Cybersecurity Analyst vacancy at Cognizant - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"WhatsApp job offer: Social Media Manager for ₹40,000/month, send ₹2000 to confirm",1,synthetic,freelance,English,2026-05-31
"Immediate hiring for Online Tutor - ₹1,00,000/month, send 1500 for training",1,synthetic,non-IT,English,2026-05-31
"Work from home Customer Support - Earn ₹50,000/month, no experience needed",1,synthetic,non-IT,English,2026-05-31
"Part-time Web Developer from home - ₹1,50,000/month guaranteed, deposit ₹2500",1,synthetic,non-IT,English,2026-05-31
Data Scientist vacancy at Infosys - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
UX Designer position at Deloitte - 3-5 years experience required,0,synthetic,IT,English,2026-05-31
"Fortune 500 company: Customer Support fresher role ₹80,000/month, pay subscription ₹500",1,synthetic,freelance,English,2026-05-31
"Work from home Online Tutor - Earn ₹1,00,000/month, no experience needed",1,synthetic,IT,English,2026-05-31
Remote work opportunity from established company,0,existing,unknown,English,2024-01-01
"URGENT! Pay ₹5000 registration fee to get ₹1,00,000/month job as Social Media Manager",1,synthetic,non-IT,English,2026-05-31
Job fair organized by industry associations,0,existing,unknown,English,2024-01-01
"Immediate hiring for Social Media Manager - ₹80,000/month, send 1000 for training",1,synthetic,freelance,English,2026-05-31
"Infosys career opportunity: UX Designer position, apply on company website",0,synthetic,established,English,2026-05-31
Data Scientist position at Microsoft - 3-5 years experience required,0,synthetic,government,English,2026-05-31
"सीमित समय ऑफर: सॉफ्टवेयर इंजीनियर पद, ₹40,000/महीना, अभी आवेदन करो",1,synthetic,mixed,Hindi,2026-05-31
Accenture recruitment drive for Machine Learning Engineer - Visit official job portal,0,synthetic,government,English,2026-05-31
Job opening: Software Engineer at Wipro - Send resume to hr@google.com,0,synthetic,government,English,2026-05-31
DevOps Engineer position at HCL - 3-5 years experience required,0,synthetic,established,English,2026-05-31
"Data entry job Content Writer - ₹60,000/month, pay registration ₹2500",1,synthetic,non-IT,English,2026-05-31
Government job: Cybersecurity Analyst recruitment via official UPSC portal,0,synthetic,IT,English,2026-05-31
DevOps Engineer position at Google - 3-5 years experience required,0,synthetic,government,English,2026-05-31
"Part-time Web Developer from home - ₹1,00,000/month guaranteed, deposit ₹500",1,synthetic,non-IT,English,2026-05-31
"Immediate hiring for Telecaller - ₹60,000/month, send 999 for training",1,synthetic,non-IT,English,2026-05-31
"Fortune 500 company: Telecaller fresher role ₹60,000/month, pay subscription ₹5000",1,synthetic,freelance,English,2026-05-31
"URGENT! Pay ₹1000 registration fee to get ₹40,000/month job as Virtual Assistant",1,synthetic,freelance,English,2026-05-31
Infosys सॉफ्टवेयर इंजीनियर के लिए भर्ती कर रहा है - careers.tcs.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
सरकारी नौकरी: सॉफ्टवेयर इंजीनियर भर्ती आधिकारिक पोर्टल के माध्यम से,0,synthetic,mixed,Hindi,2026-05-31
"Work from home Social Media Manager - Earn ₹1,00,000/month, no experience needed",1,synthetic,freelance,English,2026-05-31
Official job posting: Software Engineer at Tech Mahindra through LinkedIn,0,synthetic,established,English,2026-05-31
"Work from home Digital Marketing - Earn ₹40,000/month, no experience needed",1,synthetic,freelance,English,2026-05-31
"Tech Mahindra career opportunity: Cybersecurity Analyst position, apply on company website",0,synthetic,government,English,2026-05-31
Campus placement: Capgemini hiring Cybersecurity Analyst for 2024 batch,0,synthetic,IT,English,2026-05-31
Full Stack Developer vacancy at Capgemini - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"Google/Microsoft hiring Online Tutor - ₹1,00,000/month, pay verification fee ₹1000",1,synthetic,IT,English,2026-05-31
"Easy money: Content Writer task-based work, earn ₹80,000/day, invest ₹500",1,synthetic,freelance,English,2026-05-31
Official job posting: Machine Learning Engineer at Amazon through LinkedIn,0,synthetic,established,English,2026-05-31
"URGENT! Pay ₹3000 registration fee to get ₹1,00,000/month job as Data Entry Operator",1,synthetic,IT,English,2026-05-31
Infosys डेटा एंट्री ऑपरेटर के लिए भर्ती कर रहा है - careers.wipro.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
"Part time job: ₹60,000 monthly, flexible hours, registration closed",1,existing,unknown,English,2024-01-01
"Immediate hiring for Virtual Assistant - ₹1,00,000/month, send 2500 for training",1,synthetic,IT,English,2026-05-31
Pay ₹500 registration fee to get hired immediately,1,existing,unknown,English,2024-01-01
"Amazon career opportunity: QA Engineer position, apply on company website",0,synthetic,IT,English,2026-05-31
"URGENT! Pay ₹1000 registration fee to get ₹60,000/month job as Virtual Assistant",1,synthetic,IT,English,2026-05-31
"Work from home Online Tutor - Earn ₹40,000/month, no experience needed",1,synthetic,non-IT,English,2026-05-31
Job opening: UX Designer at Infosys - Send resume to hr@microsoft.com,0,synthetic,government,English,2026-05-31
"Quick money job: ₹70,000/month, deposit your ID proof and ₹500",1,existing,unknown,English,2024-01-01
Official job posting: DevOps Engineer at Wipro through LinkedIn,0,synthetic,IT,English,2026-05-31
HCL internship program for QA Engineer - Apply with portfolio,0,synthetic,established,English,2026-05-31
Product Manager vacancy at Infosys - Interview scheduled at office,0,synthetic,government,English,2026-05-31
"Fortune 500 company: Online Tutor fresher role ₹50,000/month, pay subscription ₹500",1,synthetic,IT,English,2026-05-31
"Data entry job Back Office Executive - ₹60,000/month, pay registration ₹999",1,synthetic,IT,English,2026-05-31
"Spam: Data entry ₹25,000/month, pay now to join",1,existing,unknown,English,2024-01-01
Business Analyst vacancy at Accenture - Interview scheduled at office,0,synthetic,established,English,2026-05-31
Official job posting: Cybersecurity Analyst at Wipro through LinkedIn,0,synthetic,government,English,2026-05-31
Software Engineer vacancy at Wipro - Interview scheduled at office,0,synthetic,government,English,2026-05-31
Campus placement: HCL hiring Business Analyst for 2024 batch,0,synthetic,established,English,2026-05-31
Capgemini recruitment drive for Cloud Architect - Visit official job portal,0,synthetic,government,English,2026-05-31
"Telegram job: Google hiring, ₹80,000 salary, registration ₹999",1,existing,unknown,English,2024-01-01
"Immediate hiring for Content Writer - ₹1,50,000/month, send 5000 for training",1,synthetic,non-IT,English,2026-05-31
Infosys internship program for Full Stack Developer - Apply with portfolio,0,synthetic,IT,English,2026-05-31
TCS में डेटा एंट्री ऑपरेटर पद - 3-5 साल का अनुभव आवश्यक,0,synthetic,mixed,Hindi,2026-05-31
Deloitte recruitment drive for DevOps Engineer - Visit official job portal,0,synthetic,established,English,2026-05-31
"Work from home Content Writer - Earn ₹1,00,000/month, no experience needed",1,synthetic,non-IT,English,2026-05-31
TCS Software Engineer position - Apply on careers.tcs.com,0,existing,unknown,English,2024-01-01
"Easy money: Data Entry Operator task-based work, earn ₹80,000/day, invest ₹1000",1,synthetic,IT,English,2026-05-31
"WhatsApp job offer: Web Developer for ₹80,000/month, send ₹5000 to confirm",1,synthetic,freelance,English,2026-05-31
"Easy money: Content Writer task-based work, earn ₹40,000/day, invest ₹2000",1,synthetic,IT,English,2026-05-31
"Work from home Virtual Assistant - Earn ₹60,000/month, no experience needed",1,synthetic,non-IT,English,2026-05-31
Capgemini is hiring Cybersecurity Analyst - Apply via careers.hcl.com,0,synthetic,government,English,2026-05-31
Capgemini internship program for Cloud Architect - Apply with portfolio,0,synthetic,IT,English,2026-05-31
UX Designer position at Cognizant - 3-5 years experience required,0,synthetic,government,English,2026-05-31
"URGENT! Pay ₹5000 registration fee to get ₹50,000/month job as Software Engineer",1,synthetic,non-IT,English,2026-05-31
HCL internship program for Product Manager - Apply with portfolio,0,synthetic,government,English,2026-05-31
Official job posting: Cybersecurity Analyst at Amazon through LinkedIn,0,synthetic,IT,English,2026-05-31
Campus placement: Adobe hiring Business Analyst for 2024 batch,0,synthetic,government,English,2026-05-31
Government job: Cloud Architect recruitment via official UPSC portal,0,synthetic,IT,English,2026-05-31
Deloitte is hiring QA Engineer - Apply via careers.hcl.com,0,synthetic,government,English,2026-05-31
DevOps Engineer position at Oracle - 3-5 years experience required,0,synthetic,government,English,2026-05-31
"घर से काम डेटा एंट्री ऑपरेटर - ₹40,000/महीना कमाओ, कोई अनुभव नहीं चाहिए",1,synthetic,mixed,Hindi,2026-05-31
Business Analyst position at TCS - 3-5 years experience required,0,synthetic,established,English,2026-05-31
QA Engineer position at HCL - 3-5 years experience required,0,synthetic,government,English,2026-05-31
"URGENT! Pay ₹3000 registration fee to get ₹1,50,000/month job as Customer Support",1,synthetic,IT,English,2026-05-31
TCS कस्टमर सपोर्ट के लिए भर्ती कर रहा है - careers.tcs.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
Official job posting: Data Scientist at Infosys through LinkedIn,0,synthetic,IT,English,2026-05-31
Cybersecurity Analyst position at Capgemini - 3-5 years experience required,0,synthetic,established,English,2026-05-31
"Fortune 500 company: Software Engineer fresher role ₹50,000/month, pay subscription ₹3000",1,synthetic,IT,English,2026-05-31
"Oracle career opportunity: Business Analyst position, apply on company website",0,synthetic,established,English,2026-05-31
"Easy money: Web Developer task-based work, earn ₹1,00,000/day, invest ₹2000",1,synthetic,IT,English,2026-05-31
"Work from home Back Office Executive - Earn ₹50,000/month, no experience needed",1,synthetic,freelance,English,2026-05-31
Oracle is hiring Product Manager - Apply via careers.techmahindra.com,0,synthetic,government,English,2026-05-31
"Google/Microsoft hiring Online Tutor - ₹50,000/month, pay verification fee ₹500",1,synthetic,non-IT,English,2026-05-31
"Fortune 500 company: Online Tutor fresher role ₹60,000/month, pay subscription ₹999",1,synthetic,freelance,English,2026-05-31
"Part-time Software Engineer from home - ₹40,000/month guaranteed, deposit ₹2000",1,synthetic,non-IT,English,2026-05-31
"Work from home Software Engineer - Earn ₹60,000/month, no experience needed",1,synthetic,freelance,English,2026-05-31
